SignatureTest.html                                                                                             Passed.
api/javasoft/sqe/tests/jakarta/mail/event/FolderEvent/testlist.html#addMsgChangeList_Test                      Failed.
api/javasoft/sqe/tests/jakarta/mail/event/FolderEvent/testlist.html#addMsgCntList_Test                         Failed.
api/javasoft/sqe/tests/jakarta/mail/event/StoreEvent/testlist.html#addStoreListener_Test                       Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/event/TransportEvent/testlist.html#addTransportListener_Test               Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/exception/testlist.html#authenFailExp_Test                                 Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/exception/testlist.html#folderClosedException_Test                         Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/exception/testlist.html#folderNotFoundExp_Test                             Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/exception/testlist.html#illegalWriteException_Test                         Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/exception/testlist.html#msgRemoveExp_Test                                  Failed. exit code 1
api/javasoft/sqe/tests/jakarta/mail/exception/testlist.html#noSuchProvExp_Test                                 Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/AddressException/testlist.html#addressException_Test              Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/AddressException/testlist.html#getPos_Test                        Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/AddressException/testlist.html#getRef_Test                        Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/ContentType/testlist.html#contentType_Test                        Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/ContentType/testlist.html#getBaseType_Test                        Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/ContentType/testlist.html#getParameterList_Test                   Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/ContentType/testlist.html#getParameter_Test                       Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/ContentType/testlist.html#getPrimaryType_Test                     Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/ContentType/testlist.html#getSubType_Test                         Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/ContentType/testlist.html#match_Test                              Passed. OKAY
